EquipoID;TorneoID;NombreTorneo;Cd_equipo;Equipo;Grupo;Confederación;Auxiliar para clasificación manual;🏳️
A001;CP2026;Copa Mundial 2026;mx;MÉXICO;A;CONCACAF;;Imagen
A002;CP2026;Copa Mundial 2026;za;SUDÁFRICA;A;CAF;;Imagen
A003;CP2026;Copa Mundial 2026;kr;COREA DEL SUR;A;AFC;;Imagen
A004;CP2026;Copa Mundial 2026;;REPECHAJE UEFA 4;A;UEFA;;
B005;CP2026;Copa Mundial 2026;ca;CANADÁ;B;CONCACAF;;Imagen
B006;CP2026;Copa Mundial 2026;;REPECHAJE UEFA 1;B;UEFA;;
B007;CP2026;Copa Mundial 2026;qa;CATAR;B;AFC;;Imagen
B008;CP2026;Copa Mundial 2026;ch;SUIZA;B;UEFA;;Imagen
C009;CP2026;Copa Mundial 2026;br;BRASIL;C;CONMEBOL;;Imagen
C010;CP2026;Copa Mundial 2026;ma;MARRUECOS;C;CAF;;Imagen
C011;CP2026;Copa Mundial 2026;ht;HAITÍ;C;CONCACAF;;Imagen
C012;CP2026;Copa Mundial 2026;gb-sct;ESCOCIA;C;UEFA;;Imagen
D013;CP2026;Copa Mundial 2026;us;ESTADOS UNIDOS;D;CONCACAF;;Imagen
D014;CP2026;Copa Mundial 2026;py;PARAGUAY;D;CONMEBOL;;Imagen
D015;CP2026;Copa Mundial 2026;au;AUSTRALIA;D;AFC;;Imagen
D016;CP2026;Copa Mundial 2026;;REPECHAJE UEFA 3;D;UEFA;;
E017;CP2026;Copa Mundial 2026;de;ALEMANIA;E;UEFA;;Imagen
E018;CP2026;Copa Mundial 2026;cw;CURAZAO;E;CONCACAF;;Imagen
E019;CP2026;Copa Mundial 2026;ci;COSTA DE MARFIL;E;CAF;;Imagen
E020;CP2026;Copa Mundial 2026;ec;ECUADOR;E;CONMEBOL;;Imagen
F021;CP2026;Copa Mundial 2026;nl;PAÍSES BAJOS;F;UEFA;;Imagen
F022;CP2026;Copa Mundial 2026;jp;JAPÓN;F;AFC;;Imagen
F023;CP2026;Copa Mundial 2026;;REPECHAJE UEFA 2;F;UEFA;;
F024;CP2026;Copa Mundial 2026;tn;TÚNEZ;F;CAF;;Imagen
G025;CP2026;Copa Mundial 2026;be;BÉLGICA;G;UEFA;;Imagen
G026;CP2026;Copa Mundial 2026;eg;EGIPTO;G;CAF;;Imagen
G027;CP2026;Copa Mundial 2026;ir;IRÁN;G;AFC;;Imagen
G028;CP2026;Copa Mundial 2026;nz;NUEVA ZELANDA;G;OFC;;Imagen
H029;CP2026;Copa Mundial 2026;es;ESPAÑA;H;UEFA;;Imagen
H030;CP2026;Copa Mundial 2026;cv;CABO VERDE;H;CAF;;Imagen
H031;CP2026;Copa Mundial 2026;sa;ARABIA SAUDITA;H;AFC;;Imagen
H032;CP2026;Copa Mundial 2026;uy;URUGUAY;H;CONMEBOL;;Imagen
I033;CP2026;Copa Mundial 2026;fr;FRANCIA;I;UEFA;;Imagen
I034;CP2026;Copa Mundial 2026;sn;SENEGAL;I;CAF;;Imagen
