PartidoID;TorneoID;FaseID;FechaHoraUTC;FechaHoraLocal;Sede;EquipoLocalID;EquipoVisitanteID;EquipoLocalNombre;EquipoVisitanteNombre;Grupo;NroPartido;EstadoPartido;CierraPronosticoUTC;MinutosCierre
F01CMB001CMB005;CMB2026;F01;2026-03-05 03:00;;Tokyo Dome, Tokio;CMB001;CMB005;Australia;Chinese Taipei;C;;Programado;2026-03-05 02:30:00;30
F01CMB002CMB004;CMB2026;F01;2026-03-05 10:00;;Tokyo Dome, Tokio;CMB002;CMB004;Corea del Sur;Chequia;C;;Programado;2026-03-05 09:30:00;30
F01CMB001CMB004;CMB2026;F01;2026-03-06 03:00;;Tokyo Dome, Tokio;CMB001;CMB004;Australia;Chequia;C;;Programado;2026-03-06 02:30:00;30
F01CMB003CMB005;CMB2026;F01;2026-03-06 10:00;;Tokyo Dome, Tokio;CMB003;CMB005;Japón;Chinese Taipei;C;;Programado;2026-03-06 09:30:00;30
F01CMB004CMB005;CMB2026;F01;2026-03-07 03:00;;Tokyo Dome, Tokio;CMB004;CMB005;Chequia;Chinese Taipei;C;;Programado;2026-03-07 02:30:00;30
F01CMB003CMB002;CMB2026;F01;2026-03-07 10:00;;Tokyo Dome, Tokio;CMB003;CMB002;Japón;Corea del Sur;C;;Programado;2026-03-07 09:30:00;30
F01CMB005CMB002;CMB2026;F01;2026-03-08 03:00;;Tokyo Dome, Tokio;CMB005;CMB002;Chinese Taipei;Corea del Sur;C;;Programado;2026-03-08 02:30:00;30
F01CMB003CMB001;CMB2026;F01;2026-03-08 10:00;;Tokyo Dome, Tokio;CMB003;CMB001;Japón;Australia;C;;Programado;2026-03-08 09:30:00;30
F01CMB001CMB002;CMB2026;F01;2026-03-09 10:00;;Tokyo Dome, Tokio;CMB001;CMB002;Australia;Corea del Sur;C;;Programado;2026-03-09 09:30:00;30
F01CMB003CMB004;CMB2026;F01;2026-03-10 10:00;;Tokyo Dome, Tokio;CMB003;CMB004;Japón;Chequia;C;;Programado;2026-03-10 09:30:00;30
F01CMB006CMB009;CMB2026;F01;2026-03-06 18:00;;Daikin Park, Houston;CMB006;CMB009;México;Gran Bretaña;B;;Programado;2026-03-06 17:30:00;30
F01CMB007CMB008;CMB2026;F01;2026-03-07 01:00;;Daikin Park, Houston;CMB007;CMB008;Estados Unidos;Brasil;B;;Programado;2026-03-07 00:30:00;30
F01CMB008CMB010;CMB2026;F01;2026-03-07 18:00;;Daikin Park, Houston;CMB008;CMB010;Brasil;Italia;B;;Programado;2026-03-07 17:30:00;30
F01CMB009CMB007;CMB2026;F01;2026-03-08 01:00;;Daikin Park, Houston;CMB009;CMB007;Gran Bretaña;Estados Unidos;B;;Programado;2026-03-08 00:30:00;30
F01CMB009CMB010;CMB2026;F01;2026-03-08 17:00;;Daikin Park, Houston;CMB009;CMB010;Gran Bretaña;Italia;B;;Programado;2026-03-08 16:30:00;30
F01CMB008CMB006;CMB2026;F01;2026-03-09 00:00;;Daikin Park, Houston;CMB008;CMB006;Brasil;México;B;;Programado;2026-03-08 23:30:00;30
F01CMB008CMB009;CMB2026;F01;2026-03-09 17:00;;Daikin Park, Houston;CMB008;CMB009;Brasil;Gran Bretaña;B;;Programado;2026-03-09 16:30:00;30
F01CMB006CMB007;CMB2026;F01;2026-03-10 00:00;;Daikin Park, Houston;CMB006;CMB007;México;Estados Unidos;B;;Programado;2026-03-09 23:30:00;30
F01CMB010CMB007;CMB2026;F01;2026-03-11 00:00;;Daikin Park, Houston;CMB010;CMB007;Italia;Estados Unidos;B;;Programado;2026-03-10 23:30:00;30
F01CMB010CMB006;CMB2026;F01;2026-03-11 23:00;;Daikin Park, Houston;CMB010;CMB006;Italia;México;B;;Programado;2026-03-11 22:30:00;30
F01CMB011CMB014;CMB2026;F01;2026-03-06 15:00;;Hiram Bithorn, San Juan;CMB011;CMB014;Cuba;Panamá;A;;Programado;2026-03-06 14:30:00;30
F01CMB012CMB013;CMB2026;F01;2026-03-06 22:00;;Hiram Bithorn, San Juan;CMB012;CMB013;Puerto Rico;Colombia;A;;Programado;2026-03-06 21:30:00;30
F01CMB013CMB015;CMB2026;F01;2026-03-07 15:00;;Hiram Bithorn, San Juan;CMB013;CMB015;Colombia;Canadá;A;;Programado;2026-03-07 14:30:00;30
F01CMB014CMB012;CMB2026;F01;2026-03-07 22:00;;Hiram Bithorn, San Juan;CMB014;CMB012;Panamá;Puerto Rico;A;;Programado;2026-03-07 21:30:00;30
F01CMB013CMB011;CMB2026;F01;2026-03-08 16:00;;Hiram Bithorn, San Juan;CMB013;CMB011;Colombia;Cuba;A;;Programado;2026-03-08 15:30:00;30
F01CMB015CMB014;CMB2026;F01;2026-03-08 23:00;;Hiram Bithorn, San Juan;CMB015;CMB014;Canadá;Panamá;A;;Programado;2026-03-08 22:30:00;30
F01CMB013CMB014;CMB2026;F01;2026-03-09 16:00;;Hiram Bithorn, San Juan;CMB013;CMB014;Colombia;Panamá;A;;Programado;2026-03-09 15:30:00;30
F01CMB011CMB012;CMB2026;F01;2026-03-09 23:00;;Hiram Bithorn, San Juan;CMB011;CMB012;Cuba;Puerto Rico;A;;Programado;2026-03-09 22:30:00;30
F01CMB015CMB011;CMB2026;F01;2026-03-10 23:00;;Hiram Bithorn, San Juan;CMB015;CMB011;Canadá;Cuba;A;;Programado;2026-03-10 22:30:00;30
F01CMB012CMB015;CMB2026;F01;2026-03-11 23:00;;Hiram Bithorn, San Juan;CMB012;CMB015;Puerto Rico;Canadá;A;;Programado;2026-03-11 22:30:00;30
F01CMB016CMB020;CMB2026;F01;2026-03-06 17:00;;loanDepot park, Miami;CMB016;CMB020;Países Bajos;Venezuela;D;;Programado;2026-03-06 16:30:00;30
F01CMB017CMB019;CMB2026;F01;2026-03-07 00:00;;loanDepot park, Miami;CMB017;CMB019;Nicaragua;República Dominicana;D;;Programado;2026-03-06 23:30:00;30
F01CMB017CMB016;CMB2026;F01;2026-03-07 17:00;;loanDepot park, Miami;CMB017;CMB016;Nicaragua;Países Bajos;D;;Programado;2026-03-07 16:30:00;30
F01CMB018CMB020;CMB2026;F01;2026-03-08 00:00;;loanDepot park, Miami;CMB018;CMB020;Israel;Venezuela;D;;Programado;2026-03-07 23:30:00;30
F01CMB019CMB016;CMB2026;F01;2026-03-08 16:00;;loanDepot park, Miami;CMB019;CMB016;República Dominicana;Países Bajos;D;;Programado;2026-03-08 15:30:00;30
F01CMB017CMB018;CMB2026;F01;2026-03-08 23:00;;loanDepot park, Miami;CMB017;CMB018;Nicaragua;Israel;D;;Programado;2026-03-08 22:30:00;30
F01CMB019CMB018;CMB2026;F01;2026-03-09 16:00;;loanDepot park, Miami;CMB019;CMB018;República Dominicana;Israel;D;;Programado;2026-03-09 15:30:00;30
F01CMB020CMB017;CMB2026;F01;2026-03-09 23:00;;loanDepot park, Miami;CMB020;CMB017;Venezuela;Nicaragua;D;;Programado;2026-03-09 22:30:00;30
F01CMB018CMB016;CMB2026;F01;2026-03-10 23:00;;loanDepot park, Miami;CMB018;CMB016;Israel;Países Bajos;D;;Programado;2026-03-10 22:30:00;30
F01CMB020CMB019;CMB2026;F01;2026-03-11 23:00;;loanDepot park, Miami;CMB020;CMB019;Venezuela;República Dominicana;D;;Programado;2026-03-11 22:30:00;30
F02CMB025CMB022;CMB2026;F02;2026-03-14 01:00;;Daikin Park, Houston;CMB025;CMB022;2do Grupo A;1ro Grupo B;;;Programado;2026-03-14 00:30:00;30
F02CMB027CMB024;CMB2026;F02;2026-03-13 22:30;;loanDepot park, Miami;CMB027;CMB024;2do Grupo C;1ro Grupo D;;;Programado;2026-03-13 22:00:00;30
F02CMB026CMB021;CMB2026;F02;2026-03-14 20:00;;Daikin Park, Houston;CMB026;CMB021;2do Grupo B;1ro Grupo A;;;Programado;2026-03-14 19:30:00;30
F02CMB028CMB023;CMB2026;F02;2026-03-15 01:00;;loanDepot park, Miami;CMB028;CMB023;2do Grupo D;1ro Grupo C;;;Programado;2026-03-15 00:30:00;30
F03CMB029CMB031;CMB2026;F03;2026-03-16 00:00;;loanDepot park, Miami;CMB029;CMB031;Ganador QF1;Ganador QF3;;;Programado;2026-03-15 23:30:00;30
F03CMB030CMB032;CMB2026;F03;2026-03-17 00:00;;loanDepot park, Miami;CMB030;CMB032;Ganador QF2;Ganador QF4;;;Programado;2026-03-16 23:30:00;30
F04CMB033CMB034;CMB2026;F04;2026-03-18 00:00;;loanDepot park, Miami;CMB033;CMB034;Ganador SF1;Ganador SF2;;;Programado;2026-03-17 23:30:00;30
